pos_x,pos_y,angle_x,angle_y,vel_x,vel_y,ω,twist_linear,twist_angular
-2.648419,-0.61814314,0.054020062,-0.99853987,-3.8756876e-5,-5.9503713e-5,-0.0007219027,-0.0,-0.0
-2.648423,-0.6181492,0.05394581,-0.99854386,5.7679335e-5,0.00022128827,0.00019109687,-0.0,-0.0
-2.648417,-0.61812645,0.053965468,-0.9985428,-0.0007131668,0.0005793755,0.0032173085,-0.0,-0.0
-2.6484904,-0.6180668,0.054296385,-0.99852484,0.0007338677,-0.00095134,-0.0032194008,0.12657091,0.0
-2.6484149,-0.6181648,0.053965252,-0.9985428,0.0036422135,-0.021231942,0.009119849,0.7170542,0.0
-2.6480396,-0.6203518,0.05490326,-0.99849164,0.012211109,-0.31701908,0.023756487,1.6083255,0.0
-2.6467817,-0.65300685,0.05734648,-0.9983543,0.023264408,-0.8661374,0.025721127,1.6083255,0.0
-2.6443853,-0.74222475,0.059991363,-0.99819887,0.08443756,-1.2501363,-0.007332137,1.6135622,0.02303044
-2.6356878,-0.8709971,0.059237447,-0.9982439,0.059755072,-1.446606,0.014371394,1.628956,0.6544028
-2.6295326,-1.0200071,0.06071513,-0.9981551,0.10773246,-1.5430832,0.29952666,1.628956,1.188271
-2.6184354,-1.1789548,0.091477565,-0.99580616,0.28764614,-1.577762,0.75683093,1.628956,1.2837678
-2.588806,-1.3414748,0.1687515,-0.98564994,0.502354,-1.5225693,0.83338624,1.628956,1.2837678
-2.5370603,-1.4983095,0.25263894,-0.967553,0.64396274,-1.4380875,0.93757033,1.628956,1.2837678
-2.4707277,-1.646442,0.3447602,-0.9386871,0.8462167,-1.3780626,0.9164096,1.628956,1.2837678
-2.3835618,-1.7883917,0.43170026,-0.90200794,0.9272901,-1.2883455,0.92027444,1.628956,1.2837678
-2.2880447,-1.9210998,0.5151388,-0.85709584,1.0486612,-1.1748394,0.9104404,1.628956,1.2837678
-2.1800258,-2.042116,0.5931398,-0.8050937,1.1281352,-1.0655731,0.8973829,1.628956,1.2837678
-2.0638204,-2.1518772,0.6649207,-0.7469059,1.2128841,-0.9442395,0.9093222,1.6113052,1.2698574
-1.9388852,-2.24914,0.73186076,-0.68143964,1.2947513,-0.8115477,0.90406805,1.628956,1.2837678
-1.8055173,-2.3327348,0.7920595,-0.6104328,1.3473909,-0.6996633,0.9015555,1.628956,1.2837678
-1.6667271,-2.4048047,0.8452574,-0.534355,1.4040953,-0.5649046,0.88019526,1.628956,1.2837678
-1.522096,-2.4629936,0.8901606,-0.4556258,1.4338294,-0.42220318,0.872053,1.628956,1.2837678
-1.374402,-2.5064833,0.927446,-0.37393633,1.4683247,-0.2864534,0.8630968,1.628956,1.2837678
-1.2231549,-2.53599,0.9569905,-0.2901157,1.4750317,-0.16728072,0.8597681,1.628956,1.2837678
-1.0712168,-2.553221,0.9788937,-0.20433545,1.4866775,-0.03817398,0.86773676,1.628956,1.0273876
-0.9180792,-2.5571532,0.9932244,-0.116139956,1.4701811,0.10111804,0.7650039,1.628956,0.1551388
-0.76664084,-2.5467374,0.9992907,-0.03759421,1.4812566,0.104689434,0.27643314,1.6165006,0.09764905
-0.6140616,-2.5359538,0.9999583,-0.009128587,1.4773611,0.01889863,0.1352326,1.628956,0.59776366
-0.4618836,-2.534007,0.99998784,0.004801118,1.4723955,0.0955179,0.3843276,1.628956,0.3368413
-0.31021708,-2.524168,0.99901354,0.044374786,1.4626982,0.18027247,0.3011657,1.617034,-0.14057836
-0.15954949,-2.5055988,0.9971579,0.07534003,1.4647747,0.14198163,-0.015452455,1.6083255,-0.3974545
-0.00866798,-2.4909737,0.9972762,0.07375273,1.4629252,0.033053398,-0.21197805,1.6083255,-0.38219208
0.142023,-2.487569,0.99864864,0.05196121,1.4527699,-0.016342847,-0.18971537,1.6083255,0.058736943
0.2916679,-2.4892523,0.99947375,0.03243701,1.442414,0.0046489914,0.024098987,1.6083255,0.7767847
0.44024613,-2.4887736,0.9993898,0.034917947,1.4253101,0.12249704,0.411563,1.6083255,1.2508512
0.58706254,-2.4761555,0.99700683,0.07724133,1.3900795,0.31882045,0.8220013,1.6083255,1.2675091
0.73024994,-2.4433148,0.986905,0.16128229,1.3425691,0.471521,0.828195,1.6083255,1.2675091
0.86854345,-2.394745,0.96957415,0.24478622,1.308055,0.5911967,0.8111752,1.6083255,1.2492267
1.0032817,-2.333848,0.94575703,0.32485047,1.2435699,0.7085198,0.8133836,1.6083255,0.024068588
1.1313777,-2.2608657,0.9152562,0.40285844,1.2208104,0.74696904,0.4581943,1.5840105,-0.32966185
1.2571293,-2.183923,0.8952353,0.44559366,1.2754927,0.6391204,-0.10617757,1.546495,-0.6711113
1.3885134,-2.1180892,0.9000546,0.43577573,1.3088776,0.49036554,-0.39532954,1.546495,-0.7440444
