Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,axes_0,axes_1,axes_2,axes_3,axes_4,axes_5,axes_6,axes_7,buttons_0,buttons_1,buttons_2,buttons_3,buttons_4,buttons_5,buttons_6,buttons_7,buttons_8,buttons_9,buttons_10,buttons_11,buttons_12,buttons_13
1638480235.6940486,25613,1638480235,480610222,joystick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480235.6956563,25614,1638480235,514083872,joystick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480235.6957042,25615,1638480235,547249026,joystick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480235.696695,25616,1638480235,580586765,joystick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480235.698109,25617,1638480235,613954201,joystick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480235.6989725,25618,1638480235,647305349,joystick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480235.7004964,25619,1638480235,680672721,joystick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480235.7154856,25620,1638480235,713982714,joystick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480235.7481718,25621,1638480235,747271586,joystick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480235.7820365,25622,1638480235,780612557,joystick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480235.8144822,25623,1638480235,813954008,joystick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480235.8481257,25624,1638480235,847303364,joystick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480235.884114,25625,1638480235,882978605,joystick,0.0,0.0,0.0,0.0,-0.06186101958155632,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480235.9145775,25626,1638480235,913943128,joystick,0.0,0.0,0.0,0.0,-0.09280678629875183,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480235.948316,25627,1638480235,947844385,joystick,0.0,0.0,0.0,0.0,-0.16498306393623352,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480235.9826558,25628,1638480235,981737130,joystick,0.0,0.0,0.0,0.0,-0.3402203321456909,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480236.0210245,25629,1638480236,20370001,joystick,0.0,0.0,0.0,-0.03094576857984066,-0.6495254635810852,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480236.0479698,25630,1638480236,47347298,joystick,0.0,0.0,0.0,-0.05157628282904625,-0.773247480392456,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480236.0835004,25631,1638480236,82910883,joystick,0.0,0.0,0.0,-0.06186101958155632,-0.8041627407073975,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480236.1160645,25632,1638480236,115386877,joystick,0.0,0.0,0.0,-0.07217627763748169,-0.8041627407073975,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480236.1511176,25633,1638480236,150345213,joystick,0.0,0.0,0.0,-0.06186101958155632,-0.8041627407073975,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
