step,training_time,log_obs,total,location,velocity,angle,ω
1,0.387614094,-410.8320667743683,5.0557103,4.608754,1.7054083,0.53729045,0.4951982
501,148.012858344,-109.99981794357299,1.8799655,1.4762204,1.0136249,0.22523764,0.41571552
1001,296.6153773490001,11.184257245063781,0.7317364,0.45065865,0.42509896,0.13019699,0.35634345
1501,444.20011835299994,19.08245482444763,0.6785958,0.42784587,0.4086656,0.11475495,0.30081716
2001,592.330082441,25.743599033355714,0.5876958,0.3755416,0.36902457,0.08783255,0.23704532
2501,739.9069155520008,27.07599594593048,0.540192,0.34805897,0.34626904,0.0776312,0.20446578
3001,886.4194893240004,29.211443185806274,0.49470645,0.31281215,0.3205741,0.06534974,0.19010338
3501,1032.4964597390006,30.857915449142457,0.47018504,0.2983254,0.301462,0.062378414,0.18649147
4001,1175.4092893410016,31.733833408355714,0.44477218,0.27768752,0.28311762,0.061210237,0.18390884
4501,1320.5525455770023,32.19657402038574,0.43565732,0.2725395,0.2729047,0.062085696,0.1825284
5001,1463.055129492003,32.54732089042663,0.42730656,0.2715027,0.26250857,0.060869295,0.18083541
5501,1605.827550156004,32.80640261173248,0.42099294,0.26959497,0.25431013,0.06041942,0.17831221
6001,1751.0088844680033,33.09685845375061,0.41686115,0.2687931,0.25116655,0.059675336,0.17410013
6501,1899.7597322510028,32.95813422203064,0.41899022,0.27490133,0.25033027,0.06074965,0.17030285
7001,2048.7883253770037,33.5051504611969,0.40863556,0.2663546,0.2444654,0.060438413,0.16608588
7501,2197.4281716830037,33.45355043411255,0.40492207,0.2660525,0.241676,0.059226625,0.16229166
8001,2342.3682279820036,33.599651432037355,0.39965087,0.2614785,0.23997983,0.059642922,0.159692
8501,2490.5656191660046,33.70489706993103,0.39863712,0.263482,0.23860908,0.059406705,0.15630165
9001,2639.1665116550093,33.690256404876706,0.39943174,0.2676718,0.23604436,0.059328757,0.15274641
9501,2788.0306159080064,33.10730562210083,0.40112352,0.27004582,0.23650494,0.060482133,0.15046063
10001,2933.727103030008,33.58523206710815,0.3973311,0.2686076,0.23512557,0.05951049,0.14735825
10501,3082.6796824340095,33.96201643943787,0.3864831,0.25672144,0.23224127,0.05844406,0.14519383
11001,3231.2638528100106,33.64231753349304,0.39741507,0.26998967,0.23363836,0.060776286,0.1426886
11501,3379.3303928230052,33.24519782066345,0.40457827,0.28030676,0.23482502,0.060462706,0.140296
12001,3524.0335394090093,33.398941373825075,0.39573938,0.27183467,0.23200634,0.06031109,0.13815759
12501,3669.0218493270118,33.56550674438476,0.39315277,0.27090028,0.23026374,0.05933199,0.13615808
13001,3817.483390075016,33.3727668762207,0.38869667,0.26584643,0.231666,0.05891177,0.13415273
13501,3964.6333885160248,33.023450756073,0.39424074,0.27333292,0.23277827,0.06015318,0.13256039
14001,4106.650567273018,33.76351075172424,0.3839015,0.26219526,0.23010354,0.058051776,0.13063158
14501,4251.882831658023,33.72334775924683,0.38204837,0.2615103,0.22935912,0.057617597,0.12873624
15001,4397.512752666012,33.67764015197754,0.3929724,0.27393097,0.2326695,0.058664717,0.12723076
15501,4542.507445011006,32.9914788722992,0.39299086,0.27422923,0.2335182,0.059261568,0.12609614
16001,4686.821504560001,32.70445990562439,0.39438424,0.27716547,0.23334053,0.059495218,0.124542974
16501,4830.931938105997,32.88570818901062,0.38353676,0.26467437,0.22945507,0.059895765,0.12390785
17001,4975.900041151,32.41002926826477,0.39299437,0.27617422,0.23279925,0.060085587,0.12258061
17501,5116.947871074001,32.43069543838501,0.3887911,0.2700197,0.23291174,0.06077061,0.121333875
18001,5257.705784332998,32.78669605255127,0.38983712,0.27383348,0.23379913,0.057799436,0.11941322
18501,5401.9449622549955,32.54809136390686,0.3827322,0.2677959,0.2304564,0.058418225,0.11819402
19001,5543.522995565002,31.5963894367218,0.38941544,0.27501547,0.23229332,0.060110413,0.117229044
19501,5687.9013335420095,32.15919885635376,0.38996926,0.27512127,0.2321299,0.06072821,0.11618582
20001,5832.554182999017,33.03595209121704,0.3786871,0.26489115,0.22728112,0.05749526,0.115825
20501,5977.252606992016,32.33142199516296,0.39960712,0.28787544,0.23240486,0.06136065,0.11461248
21001,6121.712879994022,32.845032691955566,0.38288495,0.2700435,0.22939804,0.058925547,0.11367126
21501,6266.001513897032,32.8251736164093,0.38199446,0.26936683,0.229247,0.058541335,0.11295923
22001,6410.462972461034,32.300226020812985,0.38879544,0.27780616,0.22920236,0.05966915,0.112923816
22501,6554.643686731031,31.509694051742553,0.38781923,0.27741808,0.23013175,0.059125125,0.11085045
23001,6699.328180152034,33.05900835990906,0.37591046,0.26550323,0.22500543,0.055984072,0.11044457
23501,6840.468148399036,32.5983503818512,0.38299745,0.27343908,0.22705543,0.05826516,0.110483766
24001,6982.15619249505,32.41861629486084,0.38872293,0.2807092,0.22775535,0.05865538,0.10969007
24501,7126.427413530053,31.247666454315187,0.3872296,0.27630347,0.22839086,0.062710024,0.10965276
25001,7271.25459581206,31.966324520111083,0.39268103,0.28469604,0.22825189,0.05899909,0.108529866
25501,7415.64836552406,31.273658323287965,0.3791478,0.27106437,0.22604315,0.058312207,0.1088732
