step,training_time,log_obs,RMSE
1,0.306882531,-10.97491008894784,1.488566
501,53.824406696999986,6.675211378506252,1.1913168
1001,107.21748705899981,18.792660304478236,0.96130455
1501,160.38429033899993,26.197899920599802,0.8161163
2001,213.39749375299994,29.864854676382883,0.74603736
2501,266.3705187640001,31.63585094043187,0.7081923
3001,319.05702945200056,32.740217617579866,0.6884862
3501,371.7646968160006,33.13089190210615,0.67367154
4001,424.57109625200115,33.61077553885324,0.6621194
4501,477.2304924430016,34.18314749853952,0.6534459
5001,531.6453200070015,34.250894921166555,0.6443593
5501,584.3928745830023,34.41244568143572,0.6340193
6001,637.3356102350026,34.551240818841116,0.6273989
6501,689.7372158500028,34.72906575884138,0.6234714
7001,742.2689073850025,34.738661357334685,0.6110751
7501,794.489906040003,34.83592350142343,0.60231763
8001,848.9297607040036,35.00970908573696,0.59476566
8501,902.1791257270029,35.05239336831229,0.5843831
9001,956.3081916000024,35.18618518965585,0.5751371
9501,1008.6670542950023,35.139766114098684,0.5679483
10001,1061.8358896010016,35.17500632149832,0.5592574
10501,1115.2321286250008,35.32734029633658,0.55225617
11001,1167.6003693330006,35.42529368400574,0.5425162
11501,1220.0521773060013,35.49955695016043,0.5357858
12001,1272.605104303003,35.63332264763968,0.52855915
12501,1326.1004527720024,35.79051014355251,0.52263623
13001,1378.8638937600033,35.69889766829355,0.51803267
13501,1431.1055426390033,35.89139529636928,0.51024514
14001,1483.5425532650024,35.79331340108599,0.5028226
14501,1536.1393702010034,35.82833794185093,0.4965121
15001,1589.2195015430027,35.951554911477224,0.49116343
15501,1642.1942805440017,35.928444623947144,0.4852635
16001,1694.8664825550027,35.788780212402344,0.47954676
16501,1748.8440761630031,35.88637971878052,0.47575572
17001,1801.1333380280018,35.93857428005764,0.47102028
17501,1854.7166968950032,36.18936334337507,0.4657538
18001,1908.147942932002,36.17526626586914,0.4617392
18501,1963.2516476150006,35.7832978452955,0.45728692
19001,2017.4844976810016,36.06263950892857,0.45329872
19501,2071.192169519002,36.09680111067636,0.44981804
20001,2124.8840078859985,35.89263718468802,0.44663936
20501,2178.8803006879953,35.6293922492436,0.4436037
21001,2232.731865521997,35.93268731662205,0.43928847
21501,2286.337978655001,36.10162346703665,0.43520835
22001,2339.6310953230036,36.20399594306946,0.43363854
22501,2392.914030203005,35.78896410124643,0.43146887
23001,2446.0997608660073,36.190221650259836,0.4293967
23501,2499.3016486280094,35.95862579345703,0.42544994
24001,2552.4253970460068,35.93971712248666,0.42386967
24501,2605.6008022500087,35.51957988739014,0.42369843
25001,2659.369183722011,35.90800966535296,0.419231
25501,2712.928706784013,36.289919410433086,0.41656283
26001,2765.9943906420112,35.76491791861398,0.4147482
26501,2819.2430958830096,36.17918835367475,0.41139287
27001,2872.4017162090113,36.12357548304966,0.40997654
27501,2925.6571130670113,35.75116065570286,0.40903544
28001,2978.880786478009,35.6982067993709,0.4080926
28501,3032.063538883012,36.009742157799856,0.40671387
29001,3085.3026980020127,35.03011226654053,0.40646818
29501,3138.513329205013,34.84663758959089,0.40639716
30001,3191.661326412017,35.986611298152376,0.40242723
30501,3244.731808564017,35.739839111055645,0.4009769
31001,3298.1177420730146,35.72256367547171,0.39990398
31501,3351.29669562801,35.511362416403635,0.39896828
32001,3404.6186766040028,35.93627497128078,0.39771113
32501,3457.879470318005,35.76459125110081,0.3980764
33001,3511.3128355320014,35.73468671526228,0.397152
33501,3564.6552068120004,35.73965767451695,0.39694193
34001,3618.141352297001,35.54420954840524,0.39527482
34501,3671.630011991996,35.23531488009861,0.39448446
35001,3725.2020424989946,35.586514370782034,0.39397183
35501,3778.73083840699,35.81350302696228,0.3929594
36001,3832.224930185992,35.54945509774344,0.39315027
36501,3885.795211831995,35.77836697442191,0.39360574
37001,3939.5550067489944,35.43975159100124,0.39499632
37501,3993.0860723549986,35.49339645249503,0.39391783
38001,4046.696528439999,35.41948522840227,0.3939901
38501,4100.578830569996,34.65072090285165,0.39352435
39001,4155.895692869997,35.544173445020405,0.39250726
39501,4210.514257061007,35.231026206697734,0.39310434
40001,4265.158592781008,34.82587609972273,0.39429116
40501,4319.971250648009,34.036858149937224,0.3947601
41001,4373.511972729003,35.4417393548148,0.3911062
41501,4427.635054731008,35.42059530530657,0.39120412
42001,4481.823028972013,34.509602887289866,0.39273113
42501,4536.586358704016,35.15090765271868,0.39267018
43001,4591.00851657502,35.075723716190886,0.3919776
43501,4645.456408802016,35.18401254926409,0.39222687
44001,4699.817249007016,35.48293249947684,0.39253047
44501,4754.278350867006,34.89665756906782,0.39392433
45001,4808.896882049008,35.010921886989046,0.39364034
45501,4863.390748832019,35.070529563086374,0.39376107
46001,4918.008636725008,34.39425734111241,0.39379603
46501,4972.773065296006,35.12678817340306,0.3938037
47001,5027.276490875003,34.827539273670745,0.39403734
47501,5081.873369426009,35.17199642317636,0.39341953
48001,5136.514801770994,35.41239142417908,0.3938498
48501,5190.989596520978,35.262030192783904,0.39342555
49001,5246.217032016967,35.01651515279497,0.39410418
49501,5302.906552381971,35.437653166907175,0.39148685
50001,5359.639434348968,35.16790114130293,0.3924878
50501,5417.414657442974,34.83592309270586,0.39380813
51001,5475.1950315329705,35.29980220113482,0.3956849
51501,5532.72035549297,34.79342474256243,0.39359885
52001,5589.514462491968,35.03548952511379,0.39286992
52501,5645.162866534971,34.92943685395377,0.39583486
53001,5702.3971713789615,34.70048648970468,0.39572924
53501,5761.108457986968,34.7846668788365,0.39349407
54001,5818.85261680998,35.022465978349956,0.39397028
54501,5876.222450878984,34.10912667001997,0.39842132
55001,5931.177690121984,35.27507254055568,0.3940463
55501,5985.926836589983,34.650379691805156,0.39555392
56001,6041.265267360989,34.90893013136728,0.3954958
